Date,tsla_adj
1/14/2014,161.270004
1/13/2014,139.339996
1/10/2014,145.720001
1/9/2014,147.529999
1/8/2014,151.279999
1/7/2014,149.360001
1/6/2014,147
1/3/2014,149.559998
1/2/2014,150.100006
12/31/2013,150.429993
12/30/2013,152.440002
12/27/2013,151.119995
12/26/2013,155.5
12/24/2013,151.410004
12/23/2013,143.550003
12/20/2013,143.240005
12/19/2013,140.720001
12/18/2013,147.979996
12/17/2013,152.460007
12/16/2013,147.940002
12/13/2013,147.649994
12/12/2013,147.470001
12/11/2013,139.649994
12/10/2013,142.190002
12/9/2013,141.600006
12/6/2013,137.360001
12/5/2013,140.479996
12/4/2013,138.949997
12/3/2013,144.699997
12/2/2013,124.169998
11/29/2013,127.279999
11/27/2013,126.940002
11/26/2013,120.5
11/25/2013,120.839996
11/22/2013,121.379997
11/21/2013,122.099998
11/20/2013,121.110001
11/19/2013,126.089996
11/18/2013,121.580002
11/15/2013,135.449997
11/14/2013,137.600006
11/13/2013,138.699997
11/12/2013,137.800003
11/11/2013,144.699997
11/8/2013,137.949997
11/7/2013,139.770004
11/6/2013,151.160004
11/5/2013,176.809998
11/4/2013,175.199997
11/1/2013,162.169998
10/31/2013,159.940002
10/30/2013,159.220001
10/29/2013,164.470001
10/28/2013,162.860001
10/25/2013,169.660004
10/24/2013,173.149994
10/23/2013,164.5
10/22/2013,171.539993
10/21/2013,172.600006
10/18/2013,183.399994
10/17/2013,182.800003
10/16/2013,183.559998
10/15/2013,183.940002
10/14/2013,179.720001
10/11/2013,178.699997
10/10/2013,172.929993
10/9/2013,168.779999
10/8/2013,174.729996
10/7/2013,183.070007
10/4/2013,180.979996
10/3/2013,173.309998
10/2/2013,180.949997
10/1/2013,193
9/30/2013,193.369995
9/27/2013,190.899994
9/26/2013,188.639999
9/25/2013,185.240005
9/24/2013,182.330002
9/23/2013,181.110001
9/20/2013,183.389999
9/19/2013,177.919998
9/18/2013,166.220001
9/17/2013,166.229996
9/16/2013,166.580002
9/13/2013,165.539993
9/12/2013,164.929993
9/11/2013,163.520004
9/10/2013,166.369995
9/9/2013,160.699997
9/6/2013,166.970001
9/5/2013,169.929993
9/4/2013,170.619995
9/3/2013,168.940002
8/30/2013,169
8/29/2013,166.059998
8/28/2013,166.449997
8/27/2013,167.009995
8/26/2013,164.220001
8/23/2013,161.839996
8/22/2013,157.100006
8/21/2013,147.860001
8/20/2013,149.580002
8/19/2013,144.899994
8/16/2013,142
8/15/2013,139.669998
8/14/2013,139.360001
8/13/2013,145.429993
8/12/2013,147.380005
8/9/2013,153
8/8/2013,153.479996
8/7/2013,134.229996
8/6/2013,142.149994
8/5/2013,144.679993
8/2/2013,138
8/1/2013,135.550003
7/31/2013,134.279999
7/30/2013,131.740005
7/29/2013,134.619995
7/26/2013,129.389999
7/25/2013,124.07
7/24/2013,121.699997
7/23/2013,122.739998
7/22/2013,122.43
7/19/2013,119.68
7/18/2013,119.029999
7/17/2013,120.25
7/16/2013,109.050003
7/15/2013,127.260002
7/12/2013,129.899994
7/11/2013,125.610001
7/10/2013,122.269997
7/9/2013,123.449997
7/8/2013,121.610001
7/5/2013,120.089996
7/3/2013,115.239998
7/2/2013,117.82
7/1/2013,117.18
6/28/2013,107.360001
6/27/2013,109.25
6/26/2013,105.720001
6/25/2013,102.400002
6/24/2013,101.489998
6/21/2013,99.550003
6/20/2013,100.650002
6/19/2013,104.68
6/18/2013,103.389999
6/17/2013,102.199997
6/14/2013,100.300003
6/13/2013,98.18
6/12/2013,97.730003
6/11/2013,94.470001
